"Address","Status Code","Title 1","Content Type","Status","Indexability","Indexability Status","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","category 1","product 1","URL Encoded Address","Crawl Timestamp"
"https://www.coxandcox.co.uk/soft-geometric-cushion-slate","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","4","4","0.100","0","0","","","","","","","","","","https://www.coxandcox.co.uk/soft-geometric-cushion-slate/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/soft-geometric-cushion-slate","2021-09-08 16:19:03"
"https://www.coxandcox.co.uk/soft-geometric-cushion-warm-grey","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","4","4","0.100","0","0","","","","","","","","","","https://www.coxandcox.co.uk/soft-geometric-cushion-warm-grey/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/soft-geometric-cushion-warm-grey","2021-09-08 16:19:03"
"https://www.coxandcox.co.uk/indoor-outdoor-hanging-chair","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","1","1","0.020","0","0","","","","","","","","","","https://www.coxandcox.co.uk/indoor-outdoor-hanging-chair/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/indoor-outdoor-hanging-chair","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/cotton-quilted-cushion-teal","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","3","3","0.070","0","0","","","","","","","","","","https://www.coxandcox.co.uk/cotton-quilted-cushion-teal/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/cotton-quilted-cushion-teal","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/soft-geometric-bedspread-warm-grey","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","3","3","0.070","0","0","","","","","","","","","","https://www.coxandcox.co.uk/soft-geometric-bedspread-warm-grey/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/soft-geometric-bedspread-warm-grey","2021-09-08 16:19:03"
"https://www.coxandcox.co.uk/indoor-hanging-chair","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","1","1","0.020","0","0","","","","","","","","","","https://www.coxandcox.co.uk/indoor-hanging-chair/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/indoor-hanging-chair","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/nova-runner","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","1","1","0.020","0","0","","","","","","","","","","https://www.coxandcox.co.uk/nova-runner/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/nova-runner","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/cotton-quilted-cushion-indigo","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","2","2","0.050","0","0","","","","","","","","","","https://www.coxandcox.co.uk/cotton-quilted-cushion-indigo/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/cotton-quilted-cushion-indigo","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/indoor-outdoor-beanbag-soft-blush","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","1","1","0.020","0","0","","","","","","","","","","https://www.coxandcox.co.uk/indoor-outdoor-beanbag-soft-blush/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/indoor-outdoor-beanbag-soft-blush","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/relaxed-lounge-chair-tan-leather","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","2","2","0.050","0","0","","","","","","","","","","https://www.coxandcox.co.uk/relaxed-lounge-chair-tan-leather/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/relaxed-lounge-chair-tan-leather","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/geometric-bedside-lamp-grey","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","1","1","0.020","0","0","","","","","","","","","","https://www.coxandcox.co.uk/geometric-bedside-lamp-grey/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/geometric-bedside-lamp-grey","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/open-bulb-wall-light-brass","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","1","1","0.020","0","0","","","","","","","","","","https://www.coxandcox.co.uk/open-bulb-wall-light-brass/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/open-bulb-wall-light-brass","2021-09-08 16:19:04"
"https://www.coxandcox.co.uk/salcombe-dining-table-round","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","1","1","0.020","0","0","","","","","","","","","","https://www.coxandcox.co.uk/salcombe-dining-table-round/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/salcombe-dining-table-round","2021-09-08 16:19:04"
